1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.9	2	2	2	2	2	2	2	2	2	2	1.05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.8145	1.99	2	2	2	2	2	2	2	2	2	1.09987	1.0025	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.7406	1.97254	1.999	2	2	2	2	2	2	2	2	1.14938	1.00738	1.00012	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.67615	1.94966	1.99636	1.9999	2	2	2	2	2	2	2	1.19826	1.01453	1.00049	1.00001	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.61948	1.923	1.99169	1.99955	1.99999	2	2	2	2	2	2	1.2463	1.02385	1.00119	1.00003	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.56932	1.89382	1.98485	1.99876	1.99995	2	2	2	2	2	2	1.29326	1.03524	1.00232	1.00009	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.52465	1.86309	1.97582	1.99737	1.99983	1.99999	2	2	2	2	2	1.33896	1.0486	1.00397	1.0002	1.00001	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.48465	1.83156	1.96468	1.99522	1.99958	1.99998	2	2	2	2	2	1.38322	1.06382	1.00621	1.00039	1.00002	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.44868	1.79979	1.95161	1.99217	1.99915	1.99994	2	2	2	2	2	1.42587	1.08081	1.00911	1.00068	1.00003	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.41618	1.7682	1.93679	1.98813	1.99845	1.99986	1.99999	2	2	2	2	1.46681	1.09946	1.01273	1.0011	1.00007	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.38671	1.73707	1.92046	1.98303	1.99742	1.99972	1.99998	2	2	2	2	1.50591	1.11965	1.01712	1.00168	1.00012	1.00001	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.3599	1.70664	1.90286	1.97682	1.99598	1.99949	1.99995	2	2	2	2	1.54311	1.14127	1.02234	1.00246	1.0002	1.00001	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.33542	1.67706	1.88419	1.96951	1.99407	1.99914	1.99991	1.99999	2	2	2	1.57836	1.1642	1.02842	1.00345	1.00031	1.00002	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.31303	1.64841	1.86467	1.96111	1.99162	1.99863	1.99983	1.99998	2	2	2	1.61164	1.18831	1.0354	1.00471	1.00047	1.00004	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.29248	1.62077	1.84451	1.95165	1.98858	1.99793	1.99971	1.99997	2	2	2	1.64293	1.21347	1.04331	1.00625	1.00068	1.00006	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.27358	1.59416	1.82388	1.9412	1.98491	1.997	1.99953	1.99994	1.99999	2	2	1.67227	1.23952	1.05219	1.00811	1.00096	1.00009	1.00001	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.25616	1.56861	1.80293	1.92981	1.98057	1.99579	1.99928	1.9999	1.99999	2	2	1.69967	1.26634	1.06205	1.01033	1.00132	1.00013	1.00001	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.24007	1.5441	1.7818	1.91757	1.97555	1.99427	1.99893	1.99984	1.99998	2	2	1.72519	1.29378	1.07289	1.01295	1.00177	1.00019	1.00002	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.22518	1.52063	1.76063	1.90455	1.96982	1.9924	1.99846	1.99975	1.99997	2	2	1.7489	1.32169	1.08474	1.01598	1.00233	1.00027	1.00003	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.21139	1.49817	1.7395	1.89085	1.96339	1.99015	1.99786	1.99962	1.99994	1.99999	2	1.77085	1.34992	1.0976	1.01948	1.00301	1.00037	1.00004	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.19858	1.47668	1.71851	1.87654	1.95627	1.98749	1.99709	1.99944	1.99991	1.99999	2	1.79114	1.37833	1.11144	1.02346	1.00384	1.0005	1.00005	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.18668	1.45615	1.69773	1.86171	1.94847	1.98439	1.99613	1.99921	1.99986	1.99998	2	1.80985	1.40678	1.12627	1.02796	1.00482	1.00067	1.00008	1.00001	1	1	1	1	1	1	1	1	1	1	1	1
